number,resolver,resolved_at
966,"['zhicheng-ning', 'Best-Eminem', 'frank-zsy']",2022-09-13 00:31:21
968,['yoyo-wu98'],2022-11-22 19:35:42
971,[],2022-09-25 20:00:04
975,[],2022-10-02 20:00:04
977,"['open-digger-bot[bot]', 'will-ww']",2023-05-30 17:40:51
978,"['open-digger-bot[bot]', 'xgdyp']",2022-09-27 20:59:21
979,['xgdyp'],2022-10-11 23:22:31
981,"['Best-Eminem', 'xgdyp']",2022-10-11 21:19:24
984,[],2022-10-09 20:00:04
986,['open-digger-bot[bot]'],2022-10-30 21:29:42
990,[],2022-10-16 20:00:03
992,['yoyo-wu98'],2022-10-14 05:09:03
995,['frank-zsy'],2023-01-16 07:24:53
996,"['zhicheng-ning', 'xgdyp']",2022-10-30 17:57:24
999,['zhicheng-ning'],2022-10-15 17:59:20
1002,"['Peng99999', 'frank-zsy', 'xgdyp']",2022-10-21 05:21:58
1003,"['xgdyp', 'frank-zsy', 'LinuxSuRen']",2022-10-23 20:00:04
1005,"['xiaoya-yaya', 'open-digger-bot[bot]']",2022-10-25 19:34:48
1006,"['open-digger-bot[bot]', 'frank-zsy', 'xgdyp', '100liusir']",2022-11-10 21:10:12
1007,"['open-digger-bot[bot]', 'LinuxSuRen', 'frank-zsy']",2022-10-18 18:23:28
1008,['xgdyp'],2022-11-17 23:05:49
1010,['Zzzzzhuzhiwei'],2022-10-24 03:30:02
1011,[],2022-10-30 20:00:03
1014,"['open-digger-bot[bot]', 'xgdyp']",2022-11-14 18:53:01
1015,['frank-zsy'],2022-11-20 23:37:15
1016,"['open-digger-bot[bot]', 'tmyisgod', 'frank-zsy']",2022-10-27 18:57:18
1017,['xgdyp'],2022-10-31 07:36:55
1018,[],2022-11-01 04:05:47
1020,['lhbvvvvv'],2022-10-31 06:23:37
1023,['lhbvvvvv'],2022-11-29 05:17:52
1025,[],2022-11-02 17:19:31
1026,['frank-zsy'],2022-11-23 22:20:02
1027,['frank-zsy'],2022-11-07 22:51:29
1030,['frank-zsy'],2022-11-24 06:40:02
1031,[],2022-11-07 21:50:22
1033,['frank-zsy'],2022-11-14 21:20:02
1034,[],2022-11-14 21:19:39
1039,"['zhicheng-ning', 'xgdyp']",2022-11-17 06:31:25
1040,"['open-digger-bot[bot]', 'frank-zsy']",2022-12-25 00:10:02
1041,"['open-digger-bot[bot]', 'frank-zsy', 'Lucyaaaaaaaa']",2022-11-15 03:49:25
1043,"['xgdyp', 'frank-zsy']",2022-11-14 17:03:37
1044,[],2022-11-14 17:55:15
1046,['frank-zsy'],2022-11-17 23:30:02
1047,"['xiaoya-yaya', 'open-digger-bot[bot]', 'frank-zsy', 'xgdyp']",2023-02-25 17:54:10
1048,['frank-zsy'],2022-11-17 23:30:02
1050,"['frank-zsy', 'github-actions[bot]']",2022-11-17 23:25:37
1051,['frank-zsy'],2022-11-18 02:15:02
1053,['frank-zsy'],2022-11-20 01:40:02
1055,['frank-zsy'],2022-12-18 02:42:42
1057,['frank-zsy'],2022-11-22 04:25:02
1059,[],2022-11-20 21:33:04
1062,['frank-zsy'],2022-11-23 06:16:34
1064,['frank-zsy'],2022-11-27 19:20:02
1068,"['frank-zsy', 'bifenglin', 'xgdyp', 'birdflyi']",2023-01-27 01:08:18
1069,[],2022-11-29 05:11:35
1071,['frank-zsy'],2023-01-16 18:11:49
1072,['frank-zsy'],2022-11-28 03:20:02
1074,['frank-zsy'],2022-11-30 22:50:02
1077,[],2022-12-11 22:27:15
1081,['frank-zsy'],2022-12-20 19:20:02
1082,[],2022-12-05 19:43:09
1084,['frank-zsy'],2022-12-06 18:15:02
1087,['frank-zsy'],2022-12-26 19:04:50
1088,"['xgdyp', 'github-actions[bot]']",2022-12-06 22:43:07
1089,['bifenglin'],2023-01-13 00:00:07
1090,['frank-zsy'],2022-12-18 02:11:45
1091,[],2022-12-18 20:00:05
1093,['birdflyi'],2022-12-16 00:55:54
1095,['frank-zsy'],2022-12-14 18:00:02
1100,['frank-zsy'],2022-12-25 20:00:02
1105,['frank-zsy'],2023-10-10 20:18:31
1107,"['frank-zsy', 'wengzhenjie']",2022-12-26 01:25:02
1109,['frank-zsy'],2022-12-27 19:45:02
1110,[],2023-01-01 20:00:04
1115,['frank-zsy'],2023-01-01 20:25:02
1119,[],2023-01-08 20:00:04
1121,['frank-zsy'],2023-01-03 19:45:02
1122,['frank-zsy'],2023-01-16 18:10:02
1124,['frank-zsy'],2023-01-03 23:15:02
1126,"['open-digger-bot[bot]', 'frank-zsy']",2023-01-05 23:59:17
1128,['PureNatural'],2023-03-28 17:45:04
1129,[],2023-01-09 23:59:08
1135,"['open-digger-bot[bot]', 'frank-zsy']",2023-01-15 17:33:30
1136,['birdflyi'],2023-01-11 20:00:03
1142,['frank-zsy'],2023-01-18 19:25:03
1143,['frank-zsy'],2023-01-16 07:25:39
